creature,slayer_level,slayer_xp,hitpoints,superior,superior_slayer_xp,kph,kph_source,kph_note
Crawling Hands,5,19,19,Crushing hand,550,,,
Cave Crawlers,10,22,22,Chasm crawler,600,,,
Banshees,15,22,22,Screaming banshee,610,,,
Rockslugs,20,27,27,,,,,
Cockatrice,25,37,37,Cockathrice,950,,,
Pyrefiends,30,45,45,Flaming pyrelord,1250,,,
Infernal Mages,45,60,60,Malevolent mage,1750,,,
Bloodveld,50,134,134,Insatiable Bloodveld,2900,,,
Gryphons,51,110,110,Dire gryphon,2800,,,
Jellies,52,75,75,Vitreous jelly,1900,,,
Custodian Stalkers,54,,,,,,,
Turoth,55,81,81,Spiked turoth,1998,,,
Warped Creatures,56,200,200,Mutated terrorbird,3200,,,
Cave Horrors,58,55,55,Cave abomination,1300,300,Killing cave horrors,
Aberrant Spectres,60,90,90,Abhorrent spectre,2500,,,
Basilisks,60,75,75,Monstrous basilisk,1700,85,Killing basilisk knights (Slayer),rate is for Basilisk Knights
Wyrms,62,123,120,Shadow wyrm,3520,150,Killing Wyrms (Slayer),
Dust Devils,65,130,130,Choke devil,3000,,,
Kurask,70,97,97,King kurask,2767.4,180,Killing kurasks,
Venators,74,405,345,Blood-starved venator,3622.5,,,
Gargoyles,75,105,105,Marble gargoyle,2768,230,Killing gargoyles,
Aquanites,78,180,180,Elder aquanite,4200,,,
Nechryael,80,105,105,Nechryarch,3280,143,Picking up drops from Greater Nechryael,rate is for Greater Nechryael
Drakes,84,230.6,225,Guardian Drake,7087,90,Killing Drakes (Slayer),
Abyssal Demons,85,150,150,Greater abyssal demon,4200,,,
Dark Beasts,90,225.4,220,Night beast,6462,,,
Araxytes,92,100,100,Dreadborn Araxyte,4462.5,,,
Smoke Devils,93,185,185,Nuclear smoke devil,2400,,,
Hydras,95,322.5,300,Colossal hydra,8625,80,Killing hydras,
