slayer_level,creature,weighting,assign_min,assign_max,extendable,qty_mod_min,qty_mod_max,points_mod_min,points_mod_max,clue_mod_min_pct,clue_mod_max_pct,xp_mod_min_pct,xp_mod_max_pct,superior_unique_mod_min_pct,superior_unique_mod_max_pct
5,Crawling Hands,10,35,50,No,-15,-30,5,15,N/A,N/A,25,100,50,100
10,Cave Crawlers,10,35,50,No,-15,-30,5,15,N/A,N/A,25,100,50,100
15,Banshees,10,35,50,No,-15,-30,5,15,75,150,25,100,50,100
20,Rockslugs,10,35,50,No,-15,-30,5,15,N/A,N/A,25,100,50,100
25,Cockatrice,10,35,50,No,-15,-30,5,15,75,150,25,100,50,100
30,Pyrefiends,10,35,50,No,-15,-30,5,15,75,150,25,100,50,100
45,Infernal Mages,10,35,50,No,-15,-30,5,15,N/A,N/A,25,100,50,100
50,Bloodveld,8,120,180,Yes,50,100,10,15,35,75,5,15,100,150
51,Gryphons,10,80,120,Yes,50,100,10,25,75,150,20,50,100,150
52,Jellies,10,80,120,No,50,100,10,15,35,75,10,25,100,150
54,Custodian Stalkers,8,80,120,Yes,50,100,10,15,N/A,N/A,10,25,100,150
55,Turoth,10,80,120,No,30,80,15,30,75,150,35,75,200,300
56,Warped Creatures,10,80,120,No,30,80,15,30,75,150,35,75,200,300
58,Cave Horrors,10,80,120,Yes,30,80,15,30,75,150,35,75,200,300
60,Aberrant Spectres,10,80,120,Yes,30,80,15,30,75,150,35,75,200,300
60,Basilisks,10,40,60,Yes,50,100,25,40,75,150,35,75,200,300
62,Wyrms,10,80,120,Yes,50,100,25,40,75,150,35,75,200,300
65,Dust Devils,8,120,180,Yes,50,150,10,15,N/A,N/A,10,20,100,150
70,Kurask,10,40,60,No,30,80,25,40,75,150,35,75,200,300
74,Venators,10,120,180,Yes,50,100,10,25,75,150,35,75,200,300
75,Gargoyles,10,120,180,Yes,50,100,15,30,75,150,35,75,200,300
78,Aquanites,10,40,60,Yes,50,100,25,40,75,150,35,75,200,300
80,Nechryael,8,150,200,Yes,50,100,10,20,35,75,15,30,70,120
84,Drakes,10,40,60,No,30,80,25,40,75,150,25,75,75,150
85,Abyssal Demons,8,120,180,Yes,50,100,10,25,35,75,10,25,30,60
90,Dark Beasts,10,40,60,Yes,30,80,10,25,75,150,35,75,200,300
92,Araxytes,8,120,180,Yes,50,100,10,20,35,75,5,15,10,25
93,Smoke Devils,8,80,120,No,50,100,10,20,35,75,5,15,10,25
95,Hydras,10,150,200,No,50,100,15,30,75,150,10,30,75,150
