,,,,,,Quantity Modifier,,Points Modifier,,Clue Scroll Modifier,,XP% Modifier,,Superior Unique% Modifier,
Slayer Level,Creature,Weighting,Assign Min,Assign Max,Extendable,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
5,Crawling Hands,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%
10,Cave Crawlers,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%
15,Banshees,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%
20,Rockslugs,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%
25,Cockatrice,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%
30,Pyrefiends,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%
45,Infernal Mages,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%
50,Bloodveld,8,120,180,Yes,50,100,10,15,35.00%,75.00%,5.00%,15.00%,100.00%,150.00%
51,Gryphons,10,80,120,Yes,50,100,10,25,75.00%,150.00%,20.00%,50.00%,100.00%,150.00%
52,Jellies,10,80,120,No,50,100,10,15,35.00%,75.00%,10.00%,25.00%,100.00%,150.00%
54,Custodian Stalkers,8,80,120,Yes,50,100,10,15,N/A,N/A,10.00%,25.00%,100.00%,150.00%
55,Turoth,10,80,120,No,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
56,Warped Creatures,10,80,120,No,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
58,Cave Horrors,10,80,120,Yes,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
60,Aberrant Spectres,10,80,120,Yes,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
60,Basilisks,10,40,60,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
62,Wyrms,10,80,120,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
65,Dust Devils,8,120,180,Yes,50,150,10,15,N/A,N/A,10.00%,20.00%,100.00%,150.00%
70,Kurask,10,40,60,No,30,80,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
74,Venators,10,120,180,Yes,50,100,10,25,75.00%,150.00%,35.00%,75.00%,50.00%,100.00%
75,Gargoyles,10,120,180,Yes,50,100,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
78,Aquanites,10,40,60,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
80,Nechryael,8,150,200,Yes,50,100,10,20,35.00%,75.00%,15.00%,30.00%,70.00%,120.00%
84,Drakes,10,40,60,No,30,80,25,40,75.00%,150.00%,25.00%,75.00%,75.00%,150.00%
85,Abyssal Demons,8,120,180,Yes,50,100,10,25,35.00%,75.00%,10.00%,25.00%,30.00%,60.00%
90,Dark Beasts,10,40,60,Yes,30,80,10,25,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%
92,Araxytes,8,120,180,Yes,50,100,10,20,35.00%,75.00%,5.00%,15.00%,10.00%,25.00%
93,Smoke Devils,8,80,120,No,50,100,10,20,35.00%,75.00%,5.00%,15.00%,10.00%,25.00%
95,Hydras,10,150,200,No,50,100,15,30,75.00%,150.00%,10.00%,30.00%,75.00%,150.00%
